OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape__Area,Shape__Length
42450,2018,CA,CDF,SLU,CAMINO,00011247,2018/10/19 00:00:00+00,2018/10/19 00:00:00+00,10,No damage to structures or infrastructure,58,58.52710342,7,1,,355318.62886442,3319.08184865617
42451,2018,CA,BIA,HIA,SIGNBOARD,00000174,2018/11/16 00:00:00+00,2018/11/17 00:00:00+00,,,,81.15428162,3,1,,577697.904340205,4238.80551977546
42452,2018,CA,BIA,HIA,MILL CREEK 1,00000115,2018/09/05 00:00:00+00,2018/09/06 00:00:00+00,,,,3676.68286133,3,1,,26257966.4904691,38261.8552636246
42453,2019,CA,CCO,VNC,MARIA,00090135,2019/10/31 00:00:00+00,2019/11/05 00:00:00+00,14,"Maria IMT, 11/3/2019 2130hrs",9999,10042.45898438,7,1,,59718543.840633,66055.5952608482
42454,2019,CA,CCO,VNC,EASY,00089158,2019/10/30 00:00:00+00,2019/11/13 00:00:00+00,14,multiple perimeters,1806,1806.23376465,7,1,,10729257.7048916,30918.4361655556
42455,2019,CA,CCO,VNC,OLIVAS,00082263,2019/10/11 00:00:00+00,2019/10/13 00:00:00+00,14,Multiple perimeters,,171.41828918,7,1,,1017353.6093578,6473.67914923583
42456,2019,CA,CCO,VNC,SOUTH,00055688,2019/07/14 00:00:00+00,2019/07/15 00:00:00+00,14,,,131.31724548,2,1,,781530.20231511,3413.74925333039
42457,2019,CA,CCO,VNC,POTRERO,00059442,2019/07/26 00:00:00+00,2019/07/27 00:00:00+00,14,,,11.11976051,7,1,,65878.53153479,1302.49423980107
42458,2019,CA,CDF,BTU,SWEDES,00010594,2019/09/06 00:00:00+00,2019/09/09 00:00:00+00,5,,,510.13549805,1,1,,3468134.74608285,11259.8647320387
42459,2019,CA,CDF,BTU,FORBESTOWN,00010635,2019/09/06 00:00:00+00,2019/09/16 00:00:00+00,11,,,57.44740295,1,1,,390788.906711545,2715.22594307107
