0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
56.1,d_20120901,40.1,17.7,1.4,0,0,0,3.7,0.6,0,0,0
64.4,d_20121001,26.2,14.2,4.5,1.8,0.1,0,9.3,2.8,0,0,0
42.5,d_20121101,13.1,8.3,1.8,0.6,0,0,44.3,32.5,7.7,1.6,0
35.4,d_20121201,6.7,3.7,0.9,0.3,0,0,57.8,42.9,11.4,2.2,0
59.5,d_20130101,26.8,15,4.9,2.7,0.7,0,13.6,8.1,1.1,0,0
45.8,d_20130201,46.4,28.7,10.9,5.6,2.7,0,7.8,3,0,0,0
23.9,d_20130301,70.4,46.6,17.5,8,3.6,0,5.7,1,0,0,0
21,d_20130401,78.8,52.7,28.4,14,5.1,0,0.3,0,0,0,0
17.1,d_20130501,82.9,57.7,35.2,22.3,8.3,0,0,0,0,0,0
24.2,d_20130601,75.8,52.6,34.9,20.7,7.6,0,0.1,0,0,0,0
25.9,d_20130701,74.1,52.3,28.6,12.9,3.7,0,0,0,0,0,0
15.5,d_20130801,82.9,68,25.8,7.3,1,0,1.7,0.2,0,0,0
13.7,d_20130901,84.4,78,67,55.5,33.3,0,2,0,0,0,0
13.6,d_20131001,85.7,79.8,66.4,51.8,24.2,0,0.7,0,0,0,0
15,d_20131101,75.5,70.3,53.9,33.1,14.7,0,9.4,4.9,0.7,0,0
15.4,d_20131201,77.4,72.9,62.7,55.3,40.2,0,7.2,2.4,0,0,0
15.2,d_20140101,82.9,78.4,70.3,61.7,52.2,0,2,0.4,0,0,0
13,d_20140201,86.4,80.5,63.8,46.1,19,0,0.5,0,0,0,0
12.9,d_20140301,86.9,79.1,50.5,31.3,12.8,0,0.2,0,0,0,0
8.8,d_20140401,91.1,84.3,55.1,31.7,11.9,0,0,0,0,0,0
1.2,d_20140501,98.8,93,66.2,43.8,17.8,0,0,0,0,0,0
0.1,d_20140601,99.9,98.7,78.2,48.5,21,0,0,0,0,0,0
1.5,d_20140701,98.6,92.6,62.2,37.2,16.2,0,0,0,0,0,0
5.4,d_20140801,94.5,86.2,46.9,23.5,6.5,0,0.1,0,0,0,0
33.6,d_20140901,64.3,39.8,10.8,2.7,0.8,0,2,0.9,0,0,0
52,d_20141001,32.5,16.6,2.6,0.9,0,0,15.4,4.9,0.6,0,0
46.1,d_20141101,47.9,25.8,7.7,1.8,0.1,0,6,3.2,1.1,0.2,0
59.9,d_20141201,7,2.5,0.2,0,0,0,33.1,17.9,7.5,1.2,0
64.8,d_20150101,24.2,12,3.8,1,0,0,11,3.3,1.6,0.3,0
61.8,d_20150201,32.3,16.8,4.6,1.9,0,0,5.9,2.4,0.4,0,0
42.5,d_20150301,53.1,33.7,11.8,7.2,2.3,0,4.4,2.4,0.9,0,0
38.6,d_20150401,58.1,39.9,15.7,8,3.1,0,3.4,2.2,0.4,0,0
38,d_20150501,60.7,42.7,14.4,6.2,2.3,0,1.3,0.5,0,0,0
35.6,d_20150601,63.9,41.6,13,5.5,2,0,0.6,0,0,0,0
44.7,d_20150701,50.4,29.5,8.1,2.6,0.7,0,4.9,1.5,0,0,0
48.2,d_20150801,47.2,25.5,6.4,2.4,0.3,0,4.6,1.1,0,0,0
28.6,d_20150901,70.3,64.1,47.7,38.8,15.6,0,1.1,0.1,0,0,0
32.9,d_20151001,58.5,47,19.7,7.2,1,0,8.5,1.7,0,0,0
36,d_20151101,51.2,39.5,28.9,21.6,8,0,12.6,5.8,0.2,0,0
58.5,d_20151201,18.2,8.2,1.4,0.5,0,0,23.2,8.8,1.2,0.2,0
44.6,d_20160101,0.5,0,0,0,0,0,54.9,27.2,3.7,0.6,0
73.4,d_20160201,12.3,2.7,0,0,0,0,14.2,2.9,0.1,0,0
54.8,d_20160301,13.3,4.4,0,0,0,0,31.9,14.3,0.3,0,0
56.2,d_20160401,18.1,6.9,0.1,0,0,0,25.6,8.6,0.2,0,0
61.5,d_20160501,13.2,5.5,0.4,0,0,0,25.3,8.3,0.1,0,0
57.8,d_20160601,14.7,6.3,1.4,0.1,0,0,27.6,8.9,0.2,0,0
40,d_20160701,29.1,13.1,1.2,0.1,0,0,30.8,12.7,0.4,0,0
40.4,d_20160801,27.3,11.5,0.2,0,0,0,32.4,18.7,2.9,0.5,0
64.2,d_20160901,12.2,2.7,0,0,0,0,23.7,6.7,0,0,0
37.8,d_20161001,31.2,17.1,3.8,0.3,0,0,30.9,17.4,1.5,0.3,0
35.4,d_20161101,20.4,8.1,0.4,0.1,0,0,44.1,39.1,18.4,4.1,0
40.8,d_20161201,2.5,0.6,0,0,0,0,56.7,23.6,0.7,0,0
3.7,d_20170101,0,0,0,0,0,0,96.3,87.8,50.6,20.8,3.4
0.9,d_20170201,0,0,0,0,0,0,99.1,93.1,68.7,51.8,18.6
5.5,d_20170301,0,0,0,0,0,0,94.6,77.1,53.9,33.7,12.5
6.5,d_20170401,0,0,0,0,0,0,93.5,75,52.3,36.1,16.4
4.3,d_20170501,0,0,0,0,0,0,95.8,81.4,50.4,33.6,14.5
3,d_20170601,0,0,0,0,0,0,97,83,51.5,34.8,15.2
4.3,d_20170701,0,0,0,0,0,0,95.7,80.3,39.7,20,6.9
2.5,d_20170801,0,0,0,0,0,0,97.5,83.8,47.4,25,11.8
12.1,d_20170901,0,0,0,0,0,0,88,71.4,47.7,31.4,15.1
39.6,d_20171001,12.2,5.7,3,1.7,0.1,0,48.1,32.3,11.1,4.6,1.1
34.3,d_20171101,51.2,42.4,28.7,21.6,14.4,0,14.5,7.1,0.9,0.1,0
23.7,d_20171201,74.5,60.5,41.1,30.9,20,0,1.9,0.2,0,0,0
10.1,d_20180101,89.9,71.1,31.6,14.6,2.3,0,0,0,0,0,0
1.2,d_20180201,98.9,91.7,68.5,46.8,23.3,0,0,0,0,0,0
14.1,d_20180301,85.7,66.9,23.9,9.9,0.9,0,0,0,0,0,0
22.7,d_20180401,77.2,61.1,22.5,9.3,1.6,0,0.2,0,0,0,0
19.7,d_20180501,79.5,67.5,26.2,11.8,2.7,0,0.9,0,0,0,0
19.2,d_20180601,80.3,68.4,34,17.8,7.1,0,0.6,0,0,0,0
25.8,d_20180701,73.4,54,21.4,11.1,4.2,0,0.8,0,0,0,0
21.5,d_20180801,78.4,53.1,19.1,7.4,1.9,0,0,0,0,0,0
59.4,d_20180901,39.3,20.9,4.8,1.8,0,0,1.2,0,0,0,0
53.4,d_20181001,43,21.3,5.3,2.4,0.4,0,3.7,1,0,0,0
47.6,d_20181101,13.2,7.8,2.1,0.5,0,0,39.3,25.3,3.6,0,0
61.8,d_20181201,34.3,16.2,4.4,1.9,0.3,0,3.9,0.9,0,0,0
74.6,d_20190101,13.3,5.8,1.6,0.7,0,0,12.1,3.4,0,0,0
31.6,d_20190201,1.2,0,0,0,0,0,67.3,39.5,4.5,0.9,0
23.6,d_20190301,1.4,0.4,0,0,0,0,75,49.8,7.1,2.1,0.5
28.8,d_20190401,1.1,0.1,0,0,0,0,70.1,35.7,2.6,0,0
12.5,d_20190501,0.5,0,0,0,0,0,87.1,63.4,12.1,2.7,0.5
10.2,d_20190601,0.4,0,0,0,0,0,89.3,66.5,13.9,2.7,0.4
9.3,d_20190701,0.2,0,0,0,0,0,90.5,70.3,16.9,3.2,0
13.3,d_20190801,0,0,0,0,0,0,86.8,64.3,15.1,2.5,0
5.9,d_20190901,0,0,0,0,0,0,94.2,79.7,37.2,15.8,1.5
14.3,d_20191001,1,0,0,0,0,0,84.7,63.2,30.4,10.1,0.2
71.4,d_20191101,6.5,2.7,0.3,0,0,0,22,7.7,2.1,0.7,0
49.5,d_20191201,6.2,1.9,0.2,0,0,0,44.3,26.2,2.5,0.2,0
69.7,d_20200101,15,3.9,0,0,0,0,15.3,1.5,0,0,0
29.3,d_20200201,70.8,59.1,38,19.9,3.3,0,0,0,0,0,0
33.4,d_20200301,57.1,48.8,32.3,18,2.4,0,9.5,3.2,0,0,0
24,d_20200401,52.6,46.8,26.6,14.1,2.7,0,23.4,9.1,0.2,0,0
22.9,d_20200501,53.4,45.9,22.7,10.9,0.5,0,23.7,14.4,1.3,0,0
