Order Date,Order ID,Carrier Name & Tracking Number,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged
1/10/2021,113-7187507-3074600,AMZN_US(TBA132116252404),$56.38 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$56.38 
1/10/2021,113-9928802-1053023,FedEx(782467879315),$46.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$46.00 
1/10/2021,113-6266984-4728242,AMZN_US(TBA134535935604),$9.73 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$9.73 
1/10/2021,113-7258961-3903439,UPS(1Z82V59F0322079187),$74.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$74.99 
1/13/2021,111-8237675-7624268,AMZN_US(TBA134535935604),$31.32 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$31.32 
1/20/2021,113-5278244-2631430,AMZN_US(TBA144552882604),$119.90 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$119.90 
1/20/2021,113-4620278-1812264,USPS(9361289718009419881011),$15.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$15.99 
1/20/2021,113-4620278-1812264,AMZN_US(TBA142897837304),$135.27 ,$0.00 ,$0.00 ,$4.20 ,$0.00 ,$131.07 
1/20/2021,113-4620278-1812264,AMZN_US(TBA150559691504),$15.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$15.99 
1/20/2021,113-2011411-4126646,USPS(9361289718009421755751),$9.72 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$9.72 
1/22/2021,113-8271563-7173836,USPS(9361289718009420859023),$82.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$82.99 
1/22/2021,113-8271563-7173836,USPS(9374889718009420859616),$56.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$56.99 
1/22/2021,113-5065117-8570613,USPS(9361289718009421227425),$399.98 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$399.98 
1/22/2021,113-5193591-7464241,USPS(9361289718009421156978),$29.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$29.99 
